-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数
5   69.2315    71.5185      6.591
7   72.2496    68.1646      6.72
8   52.469    58.8767      6.297
10   51.1957    47.1185      4.81
11   33.6155    50.2594      4.972
13   66.7533    44.8916      4.894
14   33.2415    55.7586      4.886
-------------------------当前TTI100----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.4184      6.587
2   69.6419    65.3532      6.434
3   37.108    67.7433      6.793
5   69.2315    70.7667      6.655
7   72.2496    67.4481      6.781
8   52.469    60.289      6.37
10   51.1957    46.1067      4.847
11   33.6155    50.8335      5.028
13   66.7533    44.3024      4.933
14   33.2415    56.6827      4.951
-------------------------当前TTI101----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.1766      6.65
2   69.6419    65.8179      6.504
3   37.108    67.469      6.858
5   69.2315    69.59      6.714
7   72.2496    67.0033      6.844
8   52.469    61.8601      6.446
10   51.1957    48.296      4.915
11   33.6155    52.6502      5.097
13   66.7533    45.2722      4.987
14   33.2415    51.7144      4.958
-------------------------当前TTI102----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.9589      6.723
2   69.6419    64.7361      6.559
3   37.108    67.8221      6.929
5   69.2315    69.531      6.783
7   72.2496    66.903      6.91
8   52.469    62.0741      6.51
10   51.1957    49.7664      4.978
11   33.6155    51.3852      5.137
13   66.7533    44.145      5.021
14   33.2415    52.643      5.019
-------------------------当前TTI103----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.763      6.797
2   69.6419    65.2625      6.629
3   37.108    66.4399      6.983
5   69.2315    69.0779      6.848
7   72.2496    67.6127      6.984
8   52.469    61.7667      6.569
10   51.1957    48.9898      5.02
11   33.6155    49.8467      5.173
13   66.7533    44.7305      5.071
14   33.2415    54.3787      5.089
-------------------------当前TTI104----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.8867      6.855
2   69.6419    65.8363      6.7
3   37.108    66.7959      7.053
5   69.2315    67.7701      6.904
7   72.2496    68.5514      7.061
8   52.469    62.19      6.635
10   51.1957    50.2908      5.082
11   33.6155    50.262      5.227
13   66.7533    44.0574      5.109
14   33.2415    53.4408      5.134
-------------------------当前TTI105----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.298      6.915
2   69.6419    64.6527      6.754
3   37.108    68.6163      7.138
5   69.2315    66.9931      6.964
7   72.2496    68.8963      7.133
8   52.469    62.571      6.701
10   51.1957    48.6617      5.116
11   33.6155    52.1358      5.296
13   66.7533    45.0517      5.163
14   33.2415    52.2967      5.176
-------------------------当前TTI106----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.7682      6.975
2   69.6419    63.8874      6.811
3   37.108    69.8547      7.219
5   69.2315    67.6938      7.038
7   72.2496    67.3067      7.186
8   52.469    63.5139      6.773
10   51.1957    48.2955      5.161
11   33.6155    51.4222      5.341
13   66.7533    44.2465      5.2
14   33.2415    54.167      5.247
-------------------------当前TTI107----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.6914      7.029
2   69.6419    64.1987      6.878
3   37.108    70.6692      7.297
5   69.2315    68.5244      7.114
7   72.2496    65.876      7.239
8   52.469    64.0625      6.842
10   51.1957    48.166      5.208
11   33.6155    50.18      5.38
13   66.7533    46.0219      5.262
14   33.2415    53.7503      5.297
-------------------------当前TTI108----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.2223      7.088
2   69.6419    64.5788      6.946
3   37.108    70.7023      7.368
5   69.2315    68.972      7.187
7   72.2496    67.9884      7.326
8   52.469    61.5562      6.881
10   51.1957    48.8494      5.263
11   33.6155    50.262      5.431
13   66.7533    47.7197      5.325
14   33.2415    51.2753      5.326
-------------------------当前TTI109----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.8001      7.167
2   69.6419    62.9209      6.994
3   37.108    70.7321      7.439
5   69.2315    69.1748      7.258
7   72.2496    66.8896      7.383
8   52.469    62.4006      6.951
10   51.1957    50.0645      5.324
11   33.6155    51.0358      5.489
13   66.7533    47.7477      5.373
14   33.2415    49.1478      5.356
-------------------------当前TTI110----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.1201      7.235
2   69.6419    63.6288      7.064
3   37.108    69.7589      7.5
5   69.2315    69.4573      7.33
7   72.2496    65.9006      7.44
8   52.469    63.1605      7.021
10   51.1957    49.7581      5.371
11   33.6155    50.2322      5.532
13   66.7533    48.0729      5.424
14   33.2415    49.933      5.413
-------------------------当前TTI111----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.0081      7.309
2   69.6419    65.4659      7.146
3   37.108    67.083      7.543
5   69.2315    69.7116      7.402
7   72.2496    66.0105      7.507
8   52.469    62.8445      7.081
10   51.1957    48.4823      5.408
11   33.6155    49.409      5.574
13   66.7533    49.8656      5.49
14   33.2415    50.2397      5.466
-------------------------当前TTI112----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    67.1073      7.386
2   69.6419    66.7193      7.224
3   37.108    64.7747      7.587
5   69.2315    68.3404      7.458
7   72.2496    67.3094      7.586
8   52.469    62.8601      7.144
10   51.1957    48.2341      5.454
11   33.6155    49.8681      5.628
13   66.7533    49.579      5.537
14   33.2415    50.3157      5.517
-------------------------当前TTI113----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    67.1966      7.454
2   69.6419    65.2474      7.276
3   37.108    66.1972      7.666
5   69.2315    69.8064      7.541
7   72.2496    67.6785      7.657
8   52.469    61.0741      7.189
10   51.1957    48.0107      5.5
11   33.6155    49.1813      5.671
13   66.7533    50.5211      5.596
14   33.2415    50.2841      5.567
-------------------------当前TTI114----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.3769      7.513
2   69.6419    66.0227      7.349
3   37.108    66.2775      7.733
5   69.2315    69.0258      7.603
7   72.2496    67.9107      7.727
8   52.469    61.6667      7.256
10   51.1957    47.8096      5.546
11   33.6155    50.3632      5.732
13   66.7533    50.069      5.642
14   33.2415    49.7557      5.612
-------------------------当前TTI115----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.9392      7.585
2   69.6419    67.7204      7.432
3   37.108    63.9498      7.776
5   69.2315    69.0232      7.672
7   72.2496    67.0196      7.786
8   52.469    62.6      7.327
10   51.1957    47.0286      5.586
11   33.6155    49.8269      5.777
13   66.7533    48.3621      5.675
14   33.2415    52.6801      5.691
-------------------------当前TTI116----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.9453      7.642
2   69.6419    67.2484      7.495
3   37.108    65.4548      7.855
5   69.2315    69.6209      7.747
7   72.2496    67.5176      7.858
8   52.469    61.54      7.379
10   51.1957    46.2257      5.625
11   33.6155    50.7442      5.836
13   66.7533    49.3259      5.733
14   33.2415    51.6121      5.733
-------------------------当前TTI117----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.8508      7.707
2   69.6419    69.0236      7.58
3   37.108    63.8093      7.904
5   69.2315    68.3588      7.804
7   72.2496    66.0658      7.911
8   52.469    64.186      7.467
10   51.1957    47.5031      5.684
11   33.6155    49.9698      5.879
13   66.7533    49.3933      5.783
14   33.2415    51.0509      5.779
-------------------------当前TTI118----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.5657      7.78
2   69.6419    67.9212      7.638
3   37.108    64.2284      7.972
5   69.2315    67.3229      7.862
7   72.2496    66.8592      7.985
8   52.469    64.3674      7.533
10   51.1957    48.4528      5.741
11   33.6155    50.4728      5.934
13   66.7533    48.254      5.821
14   33.2415    50.8458      5.828
-------------------------当前TTI119----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.7091      7.828
2   69.6419    66.4291      7.691
3   37.108    67.6056      8.07
5   69.2315    66.7906      7.924
7   72.2496    65.9733      8.043
8   52.469    65.8307      7.612
10   51.1957    47.5075      5.78
11   33.6155    51.7255      5.997
13   66.7533    47.1286      5.858
14   33.2415    51.6612      5.887
-------------------------当前TTI120----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.9382      7.895
2   69.6419    65.8862      7.752
3   37.108    67.845      8.14
5   69.2315    66.8115      7.991
7   72.2496    65.076      8.1
8   52.469    66.7476      7.687
10   51.1957    47.6568      5.829
11   33.6155    51.3529      6.045
13   66.7533    49.4157      5.928
14   33.2415    49.4951      5.917
-------------------------当前TTI121----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.4444      7.965
2   69.6419    66.0976      7.82
3   37.108    67.0605      8.2
5   69.2315    66.7304      8.057
7   72.2496    63.3684      8.148
8   52.469    68.5728      7.772
10   51.1957    47.0911      5.871
11   33.6155    50.4176      6.087
13   66.7533    48.7741      5.971
14   33.2415    51.6456      5.988
-------------------------当前TTI122----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.1      8.027
2   69.6419    65.3878      7.879
3   37.108    68.0545      8.277
5   69.2315    66.1574      8.118
7   72.2496    63.7316      8.215
8   52.469    68.8155      7.843
10   51.1957    47.782      5.925
11   33.6155    49.7758      6.131
13   66.7533    48.8967      6.021
14   33.2415    51.381      6.037
-------------------------当前TTI123----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.09      8.102
2   69.6419    64.549      7.936
3   37.108    67.9491      8.344
5   69.2315    66.2417      8.185
7   72.2496    61.8584      8.26
8   52.469    70.6339      7.93
10   51.1957    48.3038      5.978
11   33.6155    49.3982      6.177
13   66.7533    48.507      6.066
14   33.2415    51.5429      6.09
-------------------------当前TTI124----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.881      8.176
2   69.6419    65.5941      8.011
3   37.108    66.1542      8.394
5   69.2315    66.0175      8.249
7   72.2496    62.1726      8.325
8   52.469    70.5705      8
10   51.1957    48.0734      6.024
11   33.6155    48.7584      6.22
13   66.7533    48.9563      6.119
14   33.2415    51.9886      6.146
-------------------------当前TTI125----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.1929      8.236
2   69.6419    65.0347      8.071
3   37.108    67.4388      8.473
5   69.2315    66.1158      8.316
7   72.2496    61.5553      8.381
8   52.469    71.0135      8.075
10   51.1957    47.5661      6.067
11   33.6155    49.1826      6.273
13   66.7533    50.4607      6.183
14   33.2415    50.5897      6.184
-------------------------当前TTI126----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.0736      8.301
2   69.6419    64.8312      8.134
3   37.108    67.6949      8.543
5   69.2315    67.2042      8.393
7   72.2496    62.8998      8.456
8   52.469    68.6122      8.122
10   51.1957    48.6095      6.125
11   33.6155    48.0643      6.311
13   66.7533    49.3146      6.222
14   33.2415    51.8307      6.247
-------------------------当前TTI127----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.3662      8.36
2   69.6419    64.6481      8.197
3   37.108    68.5254      8.619
5   69.2315    66.7838      8.456
7   72.2496    64.0098      8.53
8   52.469    67.851      8.183
10   51.1957    48.7486      6.175
11   33.6155    48.7579      6.366
13   66.7533    50.0831      6.279
14   33.2415    50.2476      6.283
-------------------------当前TTI128----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.6296      8.428
2   69.6419    64.0833      8.256
3   37.108    68.8729      8.691
5   69.2315    68.2054      8.537
7   72.2496    63.9088      8.593
8   52.469    66.5659      8.238
10   51.1957    47.9737      6.216
11   33.6155    48.9821      6.417
13   66.7533    49.1748      6.32
14   33.2415    51.6228      6.347
-------------------------当前TTI129----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.5666      8.483
2   69.6419    65.075      8.33
3   37.108    68.9856      8.761
5   69.2315    67.5849      8.599
7   72.2496    66.6179      8.684
8   52.469    64.4093      8.283
10   51.1957    47.7763      6.262
11   33.6155    48.5839      6.462
13   66.7533    51.0573      6.388
14   33.2415    50.3605      6.386
-------------------------当前TTI130----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.5099      8.547
2   69.6419    64.3675      8.388
3   37.108    69.687      8.837
5   69.2315    69.0264      8.681
7   72.2496    66.6561      8.751
8   52.469    62.9684      8.333
10   51.1957    47.2987      6.305
11   33.6155    49.3255      6.518
13   66.7533    50.4516      6.433
14   33.2415    50.7245      6.44
-------------------------当前TTI131----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.7589      8.604
2   69.6419    64.0308      8.449
3   37.108    70.7183      8.917
5   69.2315    69.2238      8.752
7   72.2496    67.1905      8.823
8   52.469    62.2716      8.389
10   51.1957    47.5688      6.355
11   33.6155    50.3929      6.578
13   66.7533    49.4064      6.473
14   33.2415    50.4521      6.488
-------------------------当前TTI132----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.183      8.682
2   69.6419    64.7277      8.52
3   37.108    68.5465      8.966
5   69.2315    69.2014      8.821
7   72.2496    66.4715      8.883
8   52.469    62.9444      8.458
10   51.1957    47.1119      6.398
11   33.6155    51.9536      6.644
13   66.7533    48.1658      6.51
14   33.2415    50.6069      6.54
-------------------------当前TTI133----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.2647      8.748
2   69.6419    64.6549      8.584
3   37.108    68.5918      9.035
5   69.2315    68.6813      8.885
7   72.2496    65.5244      8.94
8   52.469    64.45      8.536
10   51.1957    46.6007      6.44
11   33.6155    51.7582      6.694
13   66.7533    48.2492      6.559
14   33.2415    51.2462      6.597
-------------------------当前TTI134----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.4382      8.815
2   69.6419    66.1894      8.664
3   37.108    66.8326      9.086
5   69.2315    67.7132      8.944
7   72.2496    65.372      9.004
8   52.469    65.505      8.611
10   51.1957    47.3406      6.494
11   33.6155    52.1824      6.75
13   66.7533    48.6243      6.611
14   33.2415    49.6216      6.632
-------------------------当前TTI135----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.5944      8.892
2   69.6419    64.2705      8.711
3   37.108    67.6493      9.161
5   69.2315    67.1419      9.006
7   72.2496    66.2348      9.078
8   52.469    65.1545      8.673
10   51.1957    46.7065      6.535
11   33.6155    51.4642      6.795
13   66.7533    49.2619      6.666
14   33.2415    50.3594      6.689
-------------------------当前TTI136----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.535      8.958
2   69.6419    65.4434      8.787
3   37.108    66.5844      9.218
5   69.2315    66.3277      9.065
7   72.2496    66.8113      9.15
8   52.469    65.3391      8.74
10   51.1957    45.5358      6.57
11   33.6155    51.8178      6.85
13   66.7533    49.6357      6.719
14   33.2415    50.7235      6.743
-------------------------当前TTI137----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.3815      9.013
2   69.6419    65.1991      8.85
3   37.108    67.926      9.298
5   69.2315    67.3949      9.142
7   72.2496    66.2302      9.211
8   52.469    64.8052      8.8
10   51.1957    44.1822      6.602
11   33.6155    51.236      6.896
13   66.7533    49.4721      6.767
14   33.2415    52.8512      6.815
-------------------------当前TTI138----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.8434      9.073
2   69.6419    65.6792      8.92
3   37.108    67.9334      9.366
5   69.2315    66.1554      9.197
7   72.2496    68.4072      9.299
8   52.469    63.9247      8.856
10   51.1957    42.864      6.633
11   33.6155    49.7124      6.932
13   66.7533    49.3249      6.815
14   33.2415    55.9661      6.899
-------------------------当前TTI139----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.9591      9.149
2   69.6419    67.1113      9
3   37.108    65.4401      9.409
5   69.2315    65.9399      9.261
7   72.2496    65.9665      9.343
8   52.469    66.5322      8.946
10   51.1957    43.7776      6.685
11   33.6155    50.0412      6.985
13   66.7533    50.7924      6.879
14   33.2415    53.2695      6.928
-------------------------当前TTI140----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.9632      9.195
2   69.6419    66.3002      9.059
3   37.108    68.1961      9.502
5   69.2315    64.7459      9.315
7   72.2496    66.2699      9.412
8   52.469    67.379      9.021
10   51.1957    44.6998      6.738
11   33.6155    50.2371      7.037
13   66.7533    50.0132      6.922
14   33.2415    52.9426      6.978
-------------------------当前TTI141----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.1669      9.261
2   69.6419    66.0702      9.123
3   37.108    68.2765      9.571
5   69.2315    65.0713      9.383
7   72.2496    67.9429      9.495
8   52.469    65.4411      9.069
10   51.1957    44.6298      6.782
11   33.6155    48.6134      7.071
13   66.7533    51.7119      6.989
14   33.2415    52.9483      7.031
-------------------------当前TTI142----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.3502      9.327
2   69.6419    66.5632      9.194
3   37.108    67.5489      9.632
5   69.2315    66.6642      9.464
7   72.2496    67.5486      9.559
8   52.469    64.297      9.123
10   51.1957    45.0668      6.831
11   33.6155    50.2521      7.136
13   66.7533    49.6407      7.02
14   33.2415    52.9535      7.084
-------------------------当前TTI143----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.1152      9.399
2   69.6419    67.0069      9.265
3   37.108    66.294      9.687
5   69.2315    68.0978      9.545
7   72.2496    67.3937      9.625
8   52.469    63.0673      9.175
10   51.1957    46.1601      6.887
11   33.6155    50.2269      7.186
13   66.7533    50.0766      7.074
14   33.2415    51.4581      7.122
-------------------------当前TTI144----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.7037      9.45
2   69.6419    68.0062      9.342
3   37.108    66.6646      9.757
5   69.2315    68.988      9.622
7   72.2496    68.2543      9.701
8   52.469    61.3606      9.221
10   51.1957    47.2441      6.944
11   33.6155    50.8042      7.242
13   66.7533    50.8689      7.132
14   33.2415    49.0123      7.149
-------------------------当前TTI145----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.2333      9.529
2   69.6419    66.9056      9.399
3   37.108    66.1981      9.819
5   69.2315    68.4892      9.686
7   72.2496    69.2289      9.779
8   52.469    60.8245      9.277
10   51.1957    47.5197      6.994
11   33.6155    50.4238      7.289
13   66.7533    51.582      7.19
14   33.2415    48.5111      7.193
-------------------------当前TTI146----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.21      9.594
2   69.6419    66.615      9.463
3   37.108    66.4783      9.888
5   69.2315    68.2403      9.752
7   72.2496    70.906      9.865
8   52.469    59.3421      9.323
10   51.1957    48.9677      7.056
11   33.6155    51.9814      7.355
13   66.7533    51.1238      7.237
14   33.2415    45.86      7.215
-------------------------当前TTI147----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.589      9.663
2   69.6419    69.4535      9.558
3   37.108    63.3305      9.923
5   69.2315    68.2163      9.82
7   72.2496    71.6154      9.943
8   52.469    58.6079      9.375
10   51.1957    48.6709      7.102
11   33.6155    50.2833      7.39
13   66.7533    50.3114      7.28
14   33.2415    48.574      7.288
-------------------------当前TTI148----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    66.4301      9.737
2   69.6419    70.4082      9.637
3   37.108    61.4975      9.968
5   69.2315    66.8947      9.875
7   72.2496    71.1539      10.01
8   52.469    60.3471      9.451
10   51.1957    50.3038      7.167
11   33.6155    49.855      7.436
13   66.7533    49.9803      7.327
14   33.2415    47.6166      7.327
-------------------------当前TTI149----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.2871      9.832
2   69.6419    69.8674      9.702
3   37.108    59.1478      10.006
5   69.2315    66.2052      9.935
7   72.2496    70.1385      10.071
8   52.469    62.0124      9.528
10   51.1957    51.8734      7.233
11   33.6155    49.1695      7.479
13   66.7533    49.2823      7.37
14   33.2415    47.3549      7.372
-------------------------当前TTI150----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.7584      9.896
2   69.6419    68.5807      9.759
3   37.108    61.033      10.084
5   69.2315    66.4847      10.004
7   72.2496    69.7246      10.137
8   52.469    62.2112      9.592
10   51.1957    54.2861      7.309
11   33.6155    49.3526      7.53
13   66.7533    50.1541      7.428
14   33.2415    43.9194      7.385
-------------------------当前TTI151----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.6826      9.964
2   69.6419    70.0226      9.842
3   37.108    59.7297      10.132
5   69.2315    67.7362      10.083
7   72.2496    66.9521      10.179
8   52.469    63.7901      9.67
10   51.1957    54.6575      7.367
11   33.6155    50.1173      7.587
13   66.7533    49.1387      7.468
14   33.2415    43.8275      7.428
-------------------------当前TTI152----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.3143      10.039
2   69.6419    71.1203      9.923
3   37.108    58.0567      10.175
5   69.2315    67.6626      10.15
7   72.2496    66.5569      10.242
8   52.469    64.2111      9.738
10   51.1957    53.8918      7.414
11   33.6155    50.3056      7.639
13   66.7533    49.3248      7.519
14   33.2415    44.2447      7.476
-------------------------当前TTI153----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.5829      10.111
2   69.6419    71.2083      9.995
3   37.108    57.651      10.229
5   69.2315    66.3963      10.205
7   72.2496    66.7012      10.31
8   52.469    65.39      9.814
10   51.1957    54.7026      7.476
11   33.6155    49.675      7.683
13   66.7533    46.8923      7.544
14   33.2415    46.4202      7.542
-------------------------当前TTI154----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.7246      10.172
2   69.6419    70.4875      10.059
3   37.108    59.2859      10.303
5   69.2315    66.4567      10.272
7   72.2496    67.3311      10.383
8   52.469    64.751      9.873
10   51.1957    52.5323      7.509
11   33.6155    49.8075      7.734
13   66.7533    47.6031      7.598
14   33.2415    47.8782      7.603
-------------------------当前TTI155----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.4521      10.238
2   69.6419    68.5387      10.11
3   37.108    61.4573      10.384
5   69.2315    67.011      10.344
7   72.2496    65.798      10.435
8   52.469    65.6759      9.947
10   51.1957    50.9791      7.546
11   33.6155    49.6268      7.782
13   66.7533    48.2428      7.652
14   33.2415    48.9904      7.662
-------------------------当前TTI156----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.7069      10.319
2   69.6419    68.4848      10.178
3   37.108    60.2116      10.433
5   69.2315    66.5099      10.406
7   72.2496    63.5182      10.478
8   52.469    68.4083      10.04
10   51.1957    51.7812      7.605
11   33.6155    47.4641      7.81
13   66.7533    48.8185      7.706
14   33.2415    49.8914      7.72
-------------------------当前TTI157----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.2362      10.374
2   69.6419    67.8363      10.24
3   37.108    62.3904      10.515
5   69.2315    65.9589      10.467
7   72.2496    61.6664      10.523
8   52.469    70.7675      10.132
10   51.1957    51.2031      7.651
11   33.6155    46.6177      7.849
13   66.7533    50.0367      7.767
14   33.2415    50.1023      7.772
-------------------------当前TTI158----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    68.0126      10.44
2   69.6419    67.8527      10.308
3   37.108    62.5514      10.579
5   69.2315    67.463      10.548
7   72.2496    61.3998      10.582
8   52.469    69.5908      10.191
10   51.1957    51.9828      7.71
11   33.6155    46.4559      7.894
13   66.7533    50.333      7.82
14   33.2415    49.1921      7.813
-------------------------当前TTI159----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.0113      10.528
2   69.6419    68.3674      10.381
3   37.108    60.0963      10.617
5   69.2315    68.7167      10.628
7   72.2496    63.0598      10.66
8   52.469    66.7317      10.232
10   51.1957    52.7845      7.77
11   33.6155    47.0103      7.946
13   66.7533    50.3997      7.871
14   33.2415    47.7729      7.848
-------------------------当前TTI160----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.7102      10.595
2   69.6419    70.6307      10.472
3   37.108    58.1867      10.658
5   69.2315    68.245      10.692
7   72.2496    64.3538      10.736
8   52.469    65.9585      10.291
10   51.1957    54.2061      7.837
11   33.6155    47.5093      7.998
13   66.7533    50.2597      7.92
14   33.2415    45.9956      7.878
-------------------------当前TTI161----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.5392      10.673
2   69.6419    69.9676      10.536
3   37.108    58.068      10.715
5   69.2315    67.4205      10.752
7   72.2496    65.4184      10.811
8   52.469    65.6626      10.354
10   51.1957    54.3855      7.893
11   33.6155    46.6584      8.037
13   66.7533    49.6337      7.964
14   33.2415    47.296      7.937
-------------------------当前TTI162----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    71.9853      10.758
2   69.6419    69.7708      10.604
3   37.108    56.8612      10.761
5   69.2315    68.8785      10.834
7   72.2496    64.9766      10.872
8   52.469    64.5963      10.409
10   51.1957    53.547      7.939
11   33.6155    48.2926      8.1
13   66.7533    51.1703      8.029
14   33.2415    45.0664      7.962
-------------------------当前TTI163----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.4868      10.805
2   69.6419    68.7937      10.664
3   37.108    60.3751      10.853
5   69.2315    69.0906      10.905
7   72.2496    64.5789      10.933
8   52.469    64.7367      10.475
10   51.1957    53.1923      7.989
11   33.6155    47.2633      8.138
13   66.7533    50.8533      8.077
14   33.2415    46.7598      8.024
-------------------------当前TTI164----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    71.6381      10.896
2   69.6419    66.8143      10.713
3   37.108    60.2376      10.912
5   69.2315    69.3815      10.977
7   72.2496    66.121      11.013
8   52.469    62.963      10.522
10   51.1957    54.6731      8.057
11   33.6155    47.837      8.191
13   66.7533    49.868      8.118
14   33.2415    45.5838      8.059
-------------------------当前TTI165----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    71.6743      10.968
2   69.6419    66.0329      10.772
3   37.108    61.0138      10.98
5   69.2315    70.0434      11.053
7   72.2496    67.0089      11.088
8   52.469    61.3667      10.569
10   51.1957    54.0058      8.105
11   33.6155    49.0533      8.251
13   66.7533    49.6812      8.166
14   33.2415    45.2254      8.101
-------------------------当前TTI166----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    73.2069      11.055
2   69.6419    64.1296      10.819
3   37.108    61.4124      11.045
5   69.2315    68.8391      11.111
7   72.2496    68.508      11.17
8   52.469    61.13      10.628
10   51.1957    53.2052      8.151
11   33.6155    49.448      8.304
13   66.7533    49.2131      8.211
14   33.2415    46.2029      8.156
-------------------------当前TTI167----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.6862      11.103
2   69.6419    62.9166      10.871
3   37.108    65.0712      11.143
5   69.2315    69.2552      11.184
7   72.2496    69.0572      11.244
8   52.469    60.117      10.679
10   51.1957    51.1847      8.184
11   33.6155    50.4032      8.363
13   66.7533    49.1918      8.26
14   33.2415    47.2826      8.213
-------------------------当前TTI168----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.2176      11.169
2   69.6419    62.9249      10.934
3   37.108    65.4641      11.212
5   69.2315    69.1297      11.252
7   72.2496    70.5515      11.328
8   52.469    58.7053      10.725
10   51.1957    52.6662      8.25
11   33.6155    50.8629      8.418
13   66.7533    47.9726      8.297
14   33.2415    46.5543      8.253
-------------------------当前TTI169----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    71.2958      11.25
2   69.6419    62.9324      10.997
3   37.108    64.4177      11.267
5   69.2315    69.1167      11.321
7   72.2496    70.1964      11.395
8   52.469    59.0348      10.787
10   51.1957    53.1996      8.308
11   33.6155    50.6766      8.467
13   66.7533    48.2753      8.348
14   33.2415    45.8989      8.293
-------------------------当前TTI170----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    70.7662      11.316
2   69.6419    62.4392      11.055
3   37.108    65.3759      11.341
5   69.2315    70.405      11.403
7   72.2496    69.3768      11.457
8   52.469    58.5313      10.841
10   51.1957    51.8796      8.348
11   33.6155    51.4089      8.525
13   66.7533    49.1478      8.405
14   33.2415    45.709      8.337
-------------------------当前TTI171----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    69.3896      11.373
2   69.6419    63.0953      11.124
3   37.108    66.1383      11.414
