-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数
2   69.6419    53.7348      1.087
3   37.108    59.7659      1.167
5   69.2315    55.0728      1.084
7   72.2496    57.1485      1.136
8   52.469    52.2737      1.106
10   51.1957    40.3508      0.817
11   33.6155    46.8698      0.929
13   66.7533    40.1397      0.865
14   33.2415    36.8218      0.713
-------------------------当前TTI18----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    52.1248      1.141
2   69.6419    54.3613      1.147
3   37.108    61.6893      1.246
5   69.2315    57.3655      1.162
7   72.2496    56.7336      1.189
8   52.469    53.8463      1.174
10   51.1957    41.4157      0.868
11   33.6155    48.2828      0.99
13   66.7533    38.1257      0.885
14   33.2415    39.7396      0.779
-------------------------当前TTI19----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    54.2123      1.214
2   69.6419    54.8252      1.206
3   37.108    62.2204      1.313
5   69.2315    60.929      1.255
7   72.2496    58.0602      1.259
8   52.469    52.0617      1.21
10   51.1957    42.7741      0.923
11   33.6155    48.4545      1.04
13   66.7533    38.8131      0.93
14   33.2415    40.5656      0.827
-------------------------当前TTI20----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    54.8911      1.275
2   69.6419    55.4427      1.267
3   37.108    63.6984      1.39
5   69.2315    61.5361      1.322
7   72.2496    59.7542      1.334
8   52.469    52.4555      1.266
10   51.1957    41.9967      0.958
11   33.6155    47.1091      1.075
13   66.7533    38.1318      0.962
14   33.2415    46.209      0.924
-------------------------当前TTI21----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    57.102      1.352
2   69.6419    55.9984      1.328
3   37.108    63.4286      1.451
5   69.2315    61.7825      1.386
7   72.2496    60.6788      1.403
8   52.469    53.7099      1.331
10   51.1957    43.997      1.02
11   33.6155    45.9982      1.111
13   66.7533    38.4186      1.003
14   33.2415    47.3881      0.982
-------------------------当前TTI22----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    59.1918      1.43
2   69.6419    57.8986      1.403
3   37.108    61.6857      1.497
5   69.2315    63.2043      1.462
7   72.2496    59.8109      1.455
8   52.469    55.3389      1.401
10   51.1957    43.5973      1.06
11   33.6155    46.7984      1.165
13   66.7533    40.8767      1.066
14   33.2415    46.7493      1.023
-------------------------当前TTI23----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    59.4726      1.492
2   69.6419    59.3087      1.475
3   37.108    61.9171      1.561
5   69.2315    63.2839      1.526
7   72.2496    60.6298      1.523
8   52.469    56.405      1.467
10   51.1957    44.3376      1.111
11   33.6155    47.3186      1.217
13   66.7533    42.189      1.12
14   33.2415    46.0744      1.063
-------------------------当前TTI24----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    61.8253      1.575
2   69.6419    61.1778      1.553
3   37.108    59.5254      1.599
5   69.2315    64.4555      1.601
7   72.2496    61.5668      1.593
8   52.469    56.0645      1.52
10   51.1957    43.0038      1.142
11   33.6155    46.4867      1.256
13   66.7533    42.8701      1.169
14   33.2415    49.467      1.143
-------------------------当前TTI25----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    59.4428      1.613
2   69.6419    61.66      1.619
3   37.108    62.9729      1.693
5   69.2315    64.81      1.669
7   72.2496    61.7101      1.656
8   52.469    57.258      1.588
10   51.1957    44.3034      1.198
11   33.6155    45.538      1.293
13   66.7533    44.2831      1.226
14   33.2415    49.3203      1.191
-------------------------当前TTI26----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    60.9985      1.688
2   69.6419    61.794      1.682
3   37.108    62.7756      1.754
5   69.2315    65.929      1.745
7   72.2496    60.9391      1.71
8   52.469    58.3322      1.656
10   51.1957    44.7731      1.247
11   33.6155    46.4842      1.348
13   66.7533    44.2548      1.27
14   33.2415    49.3883      1.241
-------------------------当前TTI27----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    61.0987      1.75
2   69.6419    60.5146      1.731
3   37.108    65.198      1.841
5   69.2315    65.0361      1.802
7   72.2496    61.9452      1.781
8   52.469    59.499      1.726
10   51.1957    44.4958      1.289
11   33.6155    48.1358      1.411
13   66.7533    44.5293      1.317
14   33.2415    49.0495      1.287
-------------------------当前TTI28----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    59.8888      1.799
2   69.6419    59.8631      1.785
3   37.108    68.1782      1.936
5   69.2315    64.2325      1.859
7   72.2496    63.1507      1.855
8   52.469    60.3491      1.794
10   51.1957    45.6462      1.345
11   33.6155    48.0222      1.458
13   66.7533    45.0764      1.367
14   33.2415    48.7446      1.333
-------------------------当前TTI29----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    58.8999      1.849
2   69.6419    61.2768      1.859
3   37.108    68.7604      2.01
5   69.2315    65.4093      1.935
